id,Date,Product categories,ProductName,Sales,Cloud Coverage,Temperature,Wind Speed,Weather Code,Festival
1307011,1/7/2013,1,Bread,148.8,6,17.8,15,20,0
1307021,2/7/2013,1,Bread,159.8,3,17.3,10,0,0
1307031,3/7/2013,1,Bread,111.9,7,21.1,6,61,0
1307041,4/7/2013,1,Bread,168.9,7,18.9,7,20,0
1307051,5/7/2013,1,Bread,171.3,5,20.0,12,0,0
1307061,6/7/2013,1,Bread,174.6,0,19.0,8,0,0
1307071,7/7/2013,1,Bread,92.6,0,21.4,9,0,0
1307081,8/7/2013,1,Bread,135.5,0,22.7,10,5,0
1307091,9/7/2013,1,Bread,136.1,0,23.3,8,0,0
1307101,10/7/2013,1,Bread,135.1,2,19.7,13,5,0
1307111,11/7/2013,1,Bread,138.6,0,21.4,12,5,0
1307121,12/7/2013,1,Bread,101.5,0,20.3,7,0,0
1307131,13/7/2013,1,Bread,141.2,1,20.1,12,0,0
1307141,14/7/2013,1,Bread,112.5,5,17.7,15,5,0
1307151,15/7/2013,1,Bread,161.3,6,18.7,12,0,0
1307161,16/7/2013,1,Bread,116.8,1,21.2,10,0,0
1307171,17/7/2013,1,Bread,150.6,5,22.5,8,0,0
1307181,18/7/2013,1,Bread,101.9,1,23.3,11,5,0
1307191,19/7/2013,1,Bread,161.6,3,22.5,16,5,0
1307201,20/7/2013,1,Bread,134.3,0,23.2,8,0,0
1307211,21/7/2013,1,Bread,66.3,0,26.4,8,0,0
1307221,22/7/2013,1,Bread,131.2,0,26.1,9,0,0
1307231,23/7/2013,1,Bread,110.3,0,25.0,12,0,0
1307241,24/7/2013,1,Bread,141.9,3,24.1,11,0,0
1307251,25/7/2013,1,Bread,167.7,2,23.1,9,0,0
1307261,26/7/2013,1,Bread,147.3,3,27.3,6,0,0
1307271,27/7/2013,1,Bread,161.4,1,26.2,10,0,0
1307281,28/7/2013,1,Bread,86.1,4,24.9,13,61,0
1307291,29/7/2013,1,Bread,183.6,1,22.8,10,0,0
1307301,30/7/2013,1,Bread,132.1,5,21.1,13,21,0
1307311,31/7/2013,1,Bread,144.8,5,20.3,16,65,0
1308011,1/8/2013,1,Bread,157.9,6,23.4,7,21,0
1308021,2/8/2013,1,Bread,117.4,0,31.4,7,0,0
